symbol,accuracy,recall,precision,trade_amount,pred_ct
HSY,0.6973404255319149,0.0,0.0,-0.25,2
STZ-B,-999.999,-999.999,-999.999,-999.999,-999.999
CCI,0.6548890714872637,0.0,0.0,0,0
AOS,0.6578263130525221,0.03732503888024884,0.38095238095238093,-0.900009155273441,63
FCX,0.604075691411936,0.0,0.0,-0.20000028610229492,1
LEG,0.6836445953593662,0.010676156583629894,0.6666666666666666,1.5499935150146413,9
COP,0.630529897909577,0.0,0.0,0,0
LBTYA,0.6410810810810811,0.0,0.0,0,0
PEG,0.6779425393883225,0.0,0.0,0,0
AJG,0.6919875130072841,0.006791171477079796,0.36363636363636365,0.8600044250488139,11
CMI,0.6694604504976427,0.0,0.0,0,0
PNWRF,0.8949416342412452,0.0,0.0,0,0
TXN,0.6477764659582841,0.0,0.0,0,0
TW,0.6089385474860335,0.014285714285714285,0.5,-0.3899993896484375,2
SO,0.6932425862907147,0.0,0.0,0,0
SLB,0.6334467671366067,0.029891304347826088,0.3548387096774194,0.9199838638305735,62
IVZ,0.640087783467447,0.026422764227642278,0.5,0.03999948501587269,26
NDAQ,0.6545988258317026,0.0,0.0,0,0
XYL,0.6678700361010831,0.01675977653631285,0.2727272727272727,1.6600112915039205,11
HST,0.6454363089267804,0.002840909090909091,0.2857142857142857,-0.11000061035156605,7
JNPR,0.6584327086882453,0.0,0.0,0,0
GGG,0.6616621983914209,0.009478672985781991,0.6,9.843336105346683,10
APH,0.6966003848620911,0.0,0.0,0,0
DAL,0.6187419768934531,0.0812720848056537,0.38333333333333336,-12.240013122558597,60
C,0.6818181818181818,0.0,0.0,0,0
NWL,0.6399776035834267,0.028616852146263912,0.36,-2.520005226135252,50
SONC,-999.999,-999.999,-999.999,-999.999,-999.999
FRC,0.6381909547738693,0.004629629629629629,0.5,1.350013732910142,2
SCHW,0.6412395709177592,0.0,0.0,-0.540000915527358,3
TYL,0.5376282782212086,0.4297253634894992,0.3674033149171271,-145.93022155761685,724
JKHY,0.6943942133815552,0.0039603960396039604,0.3333333333333333,4.52001953125,6
NCTKF,0.9981515711645101,0.0,0.0,0,0
TEL,0.6351875808538163,0.0,0.0,0,0
RSG,0.7170891251022077,0.0,0.0,0,0
GM,0.6133333333333333,0.0,0.0,0,0
RE,0.6615271659324523,0.0,0.0,0,0
CLX,0.6763527054108216,0.0,0.0,0,0
IT,0.6479835953520164,0.001949317738791423,0.25,0.2599945068359233,4
MMM,0.7128378378378378,0.006570302233902759,0.35714285714285715,-3.9600143432617045,14
BIO,0.6527196652719666,0.03776223776223776,0.313953488372093,-24.400192260742443,86
TIME,0.75,0.0,0.0,-0.6850013732910156,2
AMAT,0.6123829344432883,0.0,0.0,-0.7999992370605504,3
ATVI,0.6506849315068494,0.005893909626719057,0.42857142857142855,3.150005340576179,7
IPGP,0.5764411027568922,0.0,0.0,-4.539993286132841,3
AAPL,0.6436018957345971,0.0,0.0,0,0
COWN,0.6263736263736264,0.0,0.0,-0.04999923706054332,5
COTY,0.5690021231422505,0.0,0.0,-0.12999963760375977,1
PKI,0.6506986027944112,0.0,0.0,0,0
HAS,0.6760416666666667,0.0016051364365971107,1.0,0.3599967956542969,1
CAH,0.6491024898668211,0.0,0.0,0,0
IR,0.6058394160583942,0.02727272727272727,0.75,1.0499992370605398,4
ROP,0.6908150064683053,0.0,0.0,0,0
WRK,0.6449864498644986,0.007633587786259542,0.5,0.18999862670898438,2
PXD,0.6025236593059937,0.004016064257028112,0.2,-14.019977569580064,10
ILMN,0.6073345259391771,0.011494252873563218,0.35714285714285715,14.410018920898494,14
CDNS,0.6163215590742996,0.001589825119236884,0.3333333333333333,0.3999977111816406,3
TMUS,0.647887323943662,0.0036231884057971015,1.0,1.2300033569335795,1
STT,0.6502732240437158,0.0,0.0,0,0
RIBT,0.5922836287799792,0.2832369942196532,0.4066390041493776,-7.160000562667836,241
MNST,0.6641074856046065,0.0,0.0,0,0
T,0.716804979253112,0.0,0.0,0,0
ROL,0.6584948688711516,0.0,0.0,-0.5377769470214773,3
V,0.6517006802721088,0.0,0.0,0,0
PKG,0.4597902097902098,0.6085858585858586,0.34232954545454547,-14.225013732910014,704
TWTR,-999.999,-999.999,-999.999,-999.999,-999.999
ORLY,0.6457912457912458,0.0,0.0,-12.480010986328097,4
GD,0.6956709956709957,0.0,0.0,0,0
NOXL,-999.999,-999.999,-999.999,-999.999,-999.999
DG,0.6651305683563749,0.0,0.0,0,0
CFG,0.645320197044335,0.006944444444444444,0.5,-0.6100006103515625,2
XLEFF,0.9757575757575757,0.0,0.0,0,0
NCLH,0.5743380855397149,0.07042253521126761,0.5769230769230769,1.270000457763679,26
MRO,0.5698198198198198,0.19594594594594594,0.39341085271317827,-5.920019388198852,516
NI,0.6482254697286013,0.0,0.0,0,0
USB,0.7006012024048096,0.0,0.0,0,0
CTSH,0.6604081632653062,0.004796163069544364,0.6666666666666666,2.7700004577636648,3
BIIB,0.6590038314176245,0.003745318352059925,0.5,4.199996948242216,4
FN,0.582258064516129,0.051181102362204724,0.41935483870967744,-6.499996185302621,31
HSIC,0.6359616801768607,0.0,0.0,0,0
AMZN,0.65703125,0.0,0.0,0,0
CHD,0.6844065992549229,0.0034071550255536627,0.2,1.2200050354003835,10
EQIX,0.6550179211469535,0.0,0.0,0,0
MGM,0.6094674556213018,0.0,0.0,-1.0200004577636612,2
PEP,0.747737111373475,0.0,0.0,0,0
RXMD,0.5952755905511811,0.00390625,0.3333333333333333,-0.027999993413686794,3
CPRT,0.6388888888888888,0.0,0.0,0,0
CSCO,0.6794637416209628,0.0,0.0,0,0
WDC,0.4487534626038781,0.7447988904299584,0.3983679525222552,-67.00494194030756,1348
ODFL,0.600896860986547,0.038834951456310676,0.4528301886792453,80.23332214355456,53
CNC,0.6238095238095238,0.027848101265822784,0.5,17.680007934570305,22
BLK,0.675,0.0026455026455026454,1.0,10.22998046875,1
